,0
2018,6.21
2017,6.17
2016,6.01
2015,6.56
2014,6.27
2013,6.5
2012,6.69
2011,6.65
2010,7.08
2009,7.1
2008,6.37
2007,5.71
2006,5.93
2005,5.79
2004,5.51
2003,5.59
2002,5.55
2001,5.12
2000,5.13
1999,5.040404040404041
1998,4.7
1997,4.92
1996,4.58
1995,4.707070707070707
1994,4.26
1993,4.212121212121212
1992,4.092783505154639
1991,4.15625
1990,4.030612244897959
1989,3.9895833333333335
1988,4.052083333333333
1987,4.204081632653061
1986,4.236559139784946
1985,4.431578947368421
1984,4.043478260869565
1983,4.12
1982,4.061224489795919
1981,3.9148936170212765
1980,4.25
1979,3.9464285714285716
1978,3.7291666666666665
1977,3.739130434782609
1976,3.6956521739130435
1975,3.7555555555555555
1974,4.0625
1973,3.9361702127659575
1972,3.8297872340425534
1971,3.488888888888889
1970,3.3617021276595747
1969,3.5
1968,3.1904761904761907
1967,3.45
1966,2.888888888888889
1965,2.857142857142857
1964,3.142857142857143
