,0
1965,6.02
1966,5.77
1967,5.84
1968,5.99
1969,5.96
1970,6.49
1971,6.38
1972,6.18
1973,6.35
1974,6.1
1975,6.19
1976,6.68
1977,6.55
1978,6.6
1979,6.91
1980,6.73
1981,6.9
1982,6.76
1983,7.34
1984,7.14
1985,7.23
1986,6.77
1987,7.06
1988,7.33
1989,7.72
1990,8.14
1991,7.86
1992,7.77
1993,8.4
1994,7.95
1995,8.26
1996,7.9
1997,8.61
1998,9.17
1999,8.18
2000,8.68
2001,9.04
2002,9.2
2003,9.46
2004,9.29
2005,9.22
2006,9.44
2007,9.43
2008,9.08
2009,9.12
2010,9.08
2011,8.88
2012,8.2
2013,8.38
2014,8.86
2015,8.66
